ensemble_id,cluster_id
ENSG00000043093,10
ENSG00000106785,2
ENSG00000070371,47
ENSG00000100814,0
ENSG00000198431,17
ENSG00000105576,25
ENSG00000109171,10
ENSG00000059145,25
ENSG00000129250,22
ENSG00000137221,23
ENSG00000179902,46
ENSG00000144847,35
ENSG00000179241,24
ENSG00000074266,24
ENSG00000204839,3
ENSG00000139880,8
ENSG00000173838,10
ENSG00000272391,10
ENSG00000134324,28
ENSG00000110675,6
ENSG00000124541,26
ENSG00000125319,19
ENSG00000090674,27
ENSG00000128789,25
ENSG00000125875,27
ENSG00000100290,7
ENSG00000168497,5
ENSG00000164976,31
ENSG00000127980,0
ENSG00000112110,1
ENSG00000168899,40
ENSG00000089682,12
ENSG00000113749,31
ENSG00000155438,29
ENSG00000172270,1
ENSG00000169193,10
ENSG00000115325,3
ENSG00000145386,19
ENSG00000143603,5
ENSG00000171962,46
ENSG00000168487,8
ENSG00000146205,38
ENSG00000126870,24
ENSG00000101413,2
ENSG00000185479,13
ENSG00000011243,23
ENSG00000101935,10
ENSG00000100583,3
ENSG00000058085,15
ENSG00000010270,4
ENSG00000130598,22
ENSG00000240583,5
ENSG00000126860,11
ENSG00000187098,5
ENSG00000135744,15
ENSG00000101310,3
ENSG00000019582,11
ENSG00000064687,12
ENSG00000164674,43
ENSG00000136878,17
ENSG00000007062,13
ENSG00000109458,17
ENSG00000118690,12
ENSG00000240972,17
ENSG00000005471,45
ENSG00000145817,32
ENSG00000170439,44
ENSG00000119919,4
ENSG00000162775,22
ENSG00000148396,9
ENSG00000184575,10
ENSG00000100884,6
ENSG00000240694,5
ENSG00000196159,31
ENSG00000181027,18
ENSG00000161057,14
ENSG00000185127,10
ENSG00000175643,24
ENSG00000242485,1
ENSG00000182890,32
ENSG00000204946,23
ENSG00000203760,19
ENSG00000183513,30
ENSG00000141219,32
ENSG00000145391,0
ENSG00000118564,9
ENSG00000171793,9
ENSG00000008517,11
ENSG00000140854,33
ENSG00000011201,30
ENSG00000143217,18
ENSG00000176406,3
ENSG00000178201,38
ENSG00000148672,4
ENSG00000120519,3
ENSG00000164944,10
ENSG00000105229,17
ENSG00000139194,8
ENSG00000031698,20
ENSG00000141446,22
ENSG00000182575,5
ENSG00000117222,10
ENSG00000147144,25
ENSG00000166153,4
ENSG00000160888,48
ENSG00000176894,49
ENSG00000130477,35
ENSG00000077721,14
ENSG00000160633,7
ENSG00000129170,22
ENSG00000126226,38
ENSG00000107929,40
ENSG00000204519,1
ENSG00000011105,4
ENSG00000142765,33
ENSG00000117226,15
ENSG00000105939,30
ENSG00000132185,11
ENSG00000100580,0
ENSG00000280969,37
ENSG00000114686,3
ENSG00000162706,13
ENSG00000167995,28
ENSG00000198785,37
ENSG00000158863,42
ENSG00000176919,23
ENSG00000198521,12
ENSG00000170581,12
ENSG00000149311,1
ENSG00000168438,27
ENSG00000161955,16
ENSG00000258659,36
ENSG00000124201,36
ENSG00000133639,22
ENSG00000085491,17
ENSG00000142599,37
ENSG00000118557,12
ENSG00000124422,25
ENSG00000112761,35
ENSG00000142330,23
ENSG00000205323,0
ENSG00000123836,0
ENSG00000196371,16
ENSG00000109220,32
ENSG00000112685,0
ENSG00000155158,30
ENSG00000100036,8
ENSG00000115539,20
ENSG00000249158,24
ENSG00000137872,28
ENSG00000133641,3
